nodes,techs,carriers,timesteps,flow_out
NLD,ccgt,power,2024-10-16 02:00:00,1.1644002793207613e-06
NLD,ccgt,power,2024-10-16 03:00:00,1.1636882585278497e-06
NLD,ccgt,power,2024-10-16 04:00:00,1.1628320049974225e-06
NLD,ccgt,power,2024-10-16 05:00:00,1.1634209932722414e-06
NLD,ccgt,power,2024-10-16 06:00:00,1.1735283335236697e-06
NLD,ccgt,power,2024-10-16 07:00:00,1.1686647559771115e-06
NLD,ccgt,power,2024-10-16 08:00:00,1.1665202108657397e-06
NLD,ccgt,power,2024-10-16 09:00:00,1.1658689836936166e-06
NLD,ccgt,power,2024-10-16 10:00:00,1.1665906040824944e-06
NLD,ccgt,power,2024-10-16 11:00:00,1.1588235069987223e-06
NLD,ccgt,power,2024-10-16 12:00:00,1.1492918454243314e-06
NLD,ccgt,power,2024-10-16 13:00:00,1.139753292188979e-06
NLD,ccgt,power,2024-10-16 14:00:00,1.1413064566697956e-06
NLD,ccgt,power,2024-10-16 15:00:00,1.1375063104436707e-06
NLD,ccgt,power,2024-10-16 16:00:00,1.141390603097577e-06
NLD,ccgt,power,2024-10-16 17:00:00,1.1773436445679806e-06
NLD,ccgt,power,2024-10-16 18:00:00,1.1567533863746484e-06
NLD,ccgt,power,2024-10-16 19:00:00,2.114111272135061e-06
NLD,ccgt,power,2024-10-16 20:00:00,1626.9631610539998
NLD,ccgt,power,2024-10-16 21:00:00,441.6569156456847
NLD,ccgt,power,2024-10-16 22:00:00,1.500126489243107e-06
NLD,ccgt,power,2024-10-16 23:00:00,1.4507581952843962e-06
NLD,ccgt,power,2024-10-17 00:00:00,1.4932841832281454e-06
NLD,ccgt,power,2024-10-17 01:00:00,1.1602573325796657e-06
NLD,ccgt,power,2024-10-17 02:00:00,1.1707489869970883e-06
NLD,ccgt,power,2024-10-17 03:00:00,1.1726744157822483e-06
NLD,ccgt,power,2024-10-17 04:00:00,1.1758168024782623e-06
