nodes,techs,carriers,timesteps,flow_in_inc_eff
NLD,curtailment,power,2024-01-14 07:00:00,378.29667081167815
NLD,curtailment,power,2024-01-14 08:00:00,2289.2127878109013
NLD,curtailment,power,2024-01-14 09:00:00,2124.783775810534
NLD,curtailment,power,2024-01-14 10:00:00,2562.5147861438277
NLD,curtailment,power,2024-01-14 11:00:00,4503.03313714408
NLD,curtailment,power,2024-01-14 12:00:00,5594.99848147803
NLD,curtailment,power,2024-01-14 13:00:00,4704.651917479052
NLD,curtailment,power,2024-01-14 14:00:00,2945.496513813593
NLD,curtailment,power,2024-01-14 15:00:00,1612.760420814433
NLD,curtailment,power,2024-01-14 16:00:00,234.4971404800056
NLD,curtailment,power,2024-01-14 17:00:00,0.0006996597734127419
NLD,curtailment,power,2024-01-14 18:00:00,0.0006943913607763696
NLD,curtailment,power,2024-01-14 19:00:00,0.0006942783142612208
NLD,curtailment,power,2024-01-14 20:00:00,0.0006943851023272496
NLD,curtailment,power,2024-01-14 21:00:00,0.0006944069346098147
NLD,curtailment,power,2024-01-14 22:00:00,0.0006896326939088704
NLD,curtailment,power,2024-01-14 23:00:00,0.0006982728851409048
NLD,curtailment,power,2024-01-15 00:00:00,470.1139986031293
NLD,curtailment,power,2024-01-15 01:00:00,1398.6649544796526
NLD,curtailment,power,2024-01-15 02:00:00,1694.004744484601
NLD,curtailment,power,2024-01-15 03:00:00,1616.3019098379186
NLD,curtailment,power,2024-01-15 04:00:00,1666.1327126772003
NLD,curtailment,power,2024-01-15 05:00:00,2569.253096940364
NLD,curtailment,power,2024-01-15 06:00:00,1120.140412980119
NLD,curtailment,power,2024-01-15 07:00:00,0.00010644151667437221
NLD,curtailment,power,2024-01-15 08:00:00,0.00010644046170548566
NLD,curtailment,power,2024-01-15 09:00:00,0.00010644059014581694
NLD,curtailment,power,2024-01-15 10:00:00,0.00010644897587159044
NLD,curtailment,power,2024-01-15 11:00:00,2151.006499649089
NLD,curtailment,power,2024-01-15 12:00:00,2919.936547476904
NLD,curtailment,power,2024-01-15 13:00:00,1630.4750820586746
NLD,curtailment,power,2024-01-15 14:00:00,2007.4471465438542
NLD,curtailment,power,2024-01-15 15:00:00,0.0002315686724485011
NLD,curtailment,power,2024-01-15 16:00:00,0.00010644093388724116
NLD,curtailment,power,2024-01-15 17:00:00,0.00010644062333798818
NLD,curtailment,power,2024-01-15 18:00:00,0.00010644041520673289
NLD,curtailment,power,2024-01-15 19:00:00,0.00010644031384871716
NLD,curtailment,power,2024-01-15 20:00:00,0.00010644028703554048
NLD,curtailment,power,2024-01-15 21:00:00,0.0001064403502364468
NLD,curtailment,power,2024-01-15 22:00:00,0.00010644153565526546
NLD,curtailment,power,2024-01-15 23:00:00,0.000694920002092092
NLD,curtailment,power,2024-01-16 00:00:00,0.0006950439966480482
NLD,curtailment,power,2024-01-16 01:00:00,0.0006950920121859827
NLD,curtailment,power,2024-01-16 02:00:00,0.0006950355425311416
NLD,curtailment,power,2024-01-16 03:00:00,0.0006952520082800229
NLD,curtailment,power,2024-01-16 04:00:00,231.97919706142056
NLD,curtailment,power,2024-01-16 05:00:00,1408.0514400505663
NLD,curtailment,power,2024-01-16 06:00:00,457.9789099159335
NLD,curtailment,power,2024-01-16 07:00:00,0.0001064411309582465
NLD,curtailment,power,2024-01-16 08:00:00,0.00010644071514059883
NLD,curtailment,power,2024-01-16 09:00:00,0.00017356399583469753
NLD,curtailment,power,2024-01-16 10:00:00,3330.363406331394
NLD,curtailment,power,2024-01-16 11:00:00,6013.526839433783
NLD,curtailment,power,2024-01-16 12:00:00,5682.200196714163
NLD,curtailment,power,2024-01-16 13:00:00,3634.119885966173
NLD,curtailment,power,2024-01-16 14:00:00,1073.1355622147519
NLD,curtailment,power,2024-01-16 15:00:00,0.0003473268526954787
NLD,curtailment,power,2024-01-16 16:00:00,0.0006922237132169218
NLD,curtailment,power,2024-01-16 17:00:00,0.000696826080269608
NLD,curtailment,power,2024-01-16 18:00:00,0.0006947048835316827
NLD,curtailment,power,2024-01-16 19:00:00,0.0006947648227417225
NLD,curtailment,power,2024-01-16 20:00:00,0.000694791148257462
NLD,curtailment,power,2024-01-16 21:00:00,651.446275500396
NLD,curtailment,power,2024-01-16 22:00:00,3973.2683584812808
NLD,curtailment,power,2024-01-16 23:00:00,6870.9315488131915
NLD,curtailment,power,2024-01-17 00:00:00,8267.898892145457
NLD,curtailment,power,2024-01-17 01:00:00,9246.563545477748
NLD,curtailment,power,2024-01-17 02:00:00,9637.129815810458
NLD,curtailment,power,2024-01-17 03:00:00,9286.454855143458
NLD,curtailment,power,2024-01-17 04:00:00,9019.576740809931
NLD,curtailment,power,2024-01-17 05:00:00,8339.0700134765
NLD,curtailment,power,2024-01-17 06:00:00,6404.5108031431155
NLD,curtailment,power,2024-01-17 07:00:00,3204.975220809739
NLD,curtailment,power,2024-01-17 08:00:00,3989.263933476356
NLD,curtailment,power,2024-01-17 09:00:00,9518.667803476024
NLD,curtailment,power,2024-01-17 10:00:00,16830.45268213714
NLD,curtailment,power,2024-01-17 11:00:00,22149.680006468992
NLD,curtailment,power,2024-01-17 12:00:00,23941.229366801817
NLD,curtailment,power,2024-01-17 13:00:00,22152.76684280245
NLD,curtailment,power,2024-01-17 14:00:00,18688.438289136888
NLD,curtailment,power,2024-01-17 15:00:00,14821.742082137618
NLD,curtailment,power,2024-01-17 16:00:00,10471.836183809377
NLD,curtailment,power,2024-01-17 17:00:00,8440.712265143022
NLD,curtailment,power,2024-01-17 18:00:00,6663.634951476385
NLD,curtailment,power,2024-01-17 19:00:00,4865.908909143046
NLD,curtailment,power,2024-01-17 20:00:00,3972.735109143053
NLD,curtailment,power,2024-01-17 21:00:00,4620.7420811430675
NLD,curtailment,power,2024-01-17 22:00:00,7701.340310809748
NLD,curtailment,power,2024-01-17 23:00:00,10595.671248809755
NLD,curtailment,power,2024-01-18 00:00:00,12445.946174143104
NLD,curtailment,power,2024-01-18 01:00:00,13841.974250809766
NLD,curtailment,power,2024-01-18 02:00:00,14222.783291143116
NLD,curtailment,power,2024-01-18 03:00:00,14230.43814180978
NLD,curtailment,power,2024-01-18 04:00:00,13493.621338809795
NLD,curtailment,power,2024-01-18 05:00:00,12129.632977476498
NLD,curtailment,power,2024-01-18 06:00:00,8148.550289143246
NLD,curtailment,power,2024-01-18 07:00:00,3329.00746381005
NLD,curtailment,power,2024-01-18 08:00:00,3813.275707143618
